,rr_max,rr_min,hr_max,hr_min,PVC,PAC,AF,Normal
1,4.0,0.172,348.8372093023256,15.0,13,18,8,4
2,4.172,0.172,348.8372093023256,14.381591562799617,15,19,7,2
3,4.0,0.696,86.20689655172414,15.0,1,8,2,0
4,6.628,0.008,7500.0,9.052504526252262,2,40,19,6
5,6.592,0.216,277.77777777777777,9.101941747572816,4,35,7,17
6,9.12,3.956,15.166835187057634,6.578947368421053,1,0,0,1
7,2.376,0.224,267.85714285714283,25.252525252525253,4,41,39,0
8,0.988,0.564,106.38297872340426,60.72874493927126,0,40,18,25
9,0.876,0.6,100.0,68.4931506849315,0,41,4,36
10,0.92,0.6,100.0,65.21739130434783,0,47,5,31
11,0.908,0.552,108.69565217391303,66.07929515418502,0,55,17,14
12,0.708,0.644,93.16770186335404,84.74576271186442,0,5,0,2
13,4.124,0.172,348.8372093023256,14.54898157129001,14,13,6,1
14,10.828,0.12,500.0,5.541189508681197,12,13,5,1
15,3.828,0.172,348.8372093023256,15.673981191222571,16,11,2,1
16,4.0,0.152,394.7368421052632,15.0,10,18,9,0
17,11.828,0.172,348.8372093023256,5.072708826513359,3,13,2,0
18,3.0,0.172,348.8372093023256,20.0,18,16,7,2
19,2.172,0.172,348.8372093023256,27.624309392265193,21,9,7,6
20,3.172,0.172,348.8372093023256,18.915510718789406,17,15,5,1
21,16.0,0.172,348.8372093023256,3.75,8,15,7,0
22,4.0,0.172,348.8372093023256,15.0,15,15,7,4
23,2.172,0.172,348.8372093023256,27.624309392265193,24,14,9,1
24,8.0,0.74,81.08108108108108,7.5,15,11,1,1
25,4.0,0.172,348.8372093023256,15.0,13,18,8,4
26,4.0,0.152,394.7368421052632,15.0,5,19,6,3
27,14.0,0.172,348.8372093023256,4.285714285714286,10,15,5,1
28,3.0,0.172,348.8372093023256,20.0,15,9,8,6
29,4.0,0.172,348.8372093023256,15.0,9,12,7,1
30,10.828,0.172,348.8372093023256,5.541189508681197,9,11,9,0
31,5.0,0.152,394.7368421052632,12.0,9,13,8,2
32,4.676,0.172,348.8372093023256,12.83147989734816,8,17,7,0
33,4.588,0.172,348.8372093023256,13.077593722755013,13,18,4,2
34,2.172,0.152,394.7368421052632,27.624309392265193,15,19,7,2
35,4.124,0.172,348.8372093023256,14.54898157129001,14,13,6,1
36,3.0,0.12,500.0,20.0,14,16,5,1
37,12.0,0.144,416.6666666666667,5.0,2,1,0,0
38,3.828,0.172,348.8372093023256,15.673981191222571,16,11,2,1
39,22.848,0.172,348.8372093023256,2.6260504201680672,3,9,3,0
40,13.828,0.172,348.8372093023256,4.339022273647672,2,12,3,1
41,13.684,0.252,238.0952380952381,4.384682841274481,0,8,3,0
