,rr_max,rr_min,hr_max,hr_min,PVC,PAC,AF,Normal
174,0.892,0.692,86.70520231213874,67.26457399103138,0,14,0,57
175,0.916,0.72,83.33333333333334,65.50218340611353,0,13,0,56
176,0.904,0.708,84.74576271186442,66.3716814159292,0,13,0,56
177,0.9,0.688,87.2093023255814,66.66666666666667,0,19,0,50
178,0.876,0.684,87.71929824561403,68.4931506849315,0,8,0,63
179,0.876,0.692,86.70520231213874,68.4931506849315,1,23,0,47
180,0.868,0.692,86.70520231213874,69.12442396313364,1,23,0,48
181,0.908,0.708,84.74576271186442,66.07929515418502,0,26,0,44
182,0.908,0.712,84.26966292134831,66.07929515418502,0,29,0,42
183,0.964,0.704,85.22727272727273,62.24066390041494,0,17,0,52
184,0.896,0.732,81.9672131147541,66.96428571428571,0,20,0,49
185,0.864,0.696,86.20689655172414,69.44444444444444,0,31,0,41
186,0.912,0.712,84.26966292134831,65.78947368421052,0,16,0,53
187,0.916,0.732,81.9672131147541,65.50218340611353,3,15,0,52
188,0.88,0.716,83.79888268156425,68.18181818181819,0,11,0,59
189,0.9,0.704,85.22727272727273,66.66666666666667,1,7,0,61
190,0.892,0.7,85.71428571428572,67.26457399103138,1,17,0,52
191,0.864,0.668,89.82035928143712,69.44444444444444,0,34,0,39
192,0.92,0.732,81.9672131147541,65.21739130434783,1,12,0,55
193,0.864,0.668,89.82035928143712,69.44444444444444,0,37,0,37
194,0.86,0.64,93.75,69.76744186046511,1,40,0,33
195,0.84,0.644,93.16770186335404,71.42857142857143,0,47,0,26
196,0.856,0.236,254.23728813559325,70.09345794392523,0,46,5,25
197,0.88,0.732,81.9672131147541,68.18181818181819,0,31,0,39
198,0.856,0.708,84.74576271186442,70.09345794392523,0,25,0,46
199,0.86,0.736,81.52173913043478,69.76744186046511,0,24,0,44
200,0.868,0.756,79.36507936507937,69.12442396313364,0,32,0,37
201,0.9,0.712,84.26966292134831,66.66666666666667,0,25,0,45
202,0.956,0.684,87.71929824561403,62.761506276150634,1,17,0,50
203,0.892,0.648,92.5925925925926,67.26457399103138,0,14,0,55
204,0.94,0.708,84.74576271186442,63.829787234042556,0,12,0,57
205,0.92,0.716,83.79888268156425,65.21739130434783,0,10,0,59
206,0.908,0.708,84.74576271186442,66.07929515418502,1,14,0,53
207,0.864,0.544,110.29411764705881,69.44444444444444,0,33,6,39
208,0.884,0.644,93.16770186335404,67.87330316742081,0,70,0,9
209,0.848,0.596,100.67114093959732,70.75471698113208,0,25,2,48
210,1.172,0.64,93.75,51.19453924914676,0,37,4,32
211,0.832,0.216,277.77777777777777,72.11538461538461,0,46,10,22
212,0.852,0.332,180.72289156626505,70.4225352112676,2,40,5,27
